from,to,fromCount,edgewidth
OM Adverse events,Bartelmaos et al (2013),1,1
OM Blood loss,Bartelmaos et al (2013),1,1
OM Coagulation factors ,Bartelmaos et al (2013),1,1
OM Fibrinogen,Bartelmaos et al (2013),1,1
OM Plasma,Bartelmaos et al (2013),1,1
OM Platelets,Bartelmaos et al (2013),1,1
OM PT,Bartelmaos et al (2013),1,1
OM RBC,Bartelmaos et al (2013),1,1
OM Thromboelastography ,Bindi et al (2013),1,1
OM aPTT,Bindi et al (2013),1,1
OM ATIII,Bindi et al (2013),1,1
OM Coagulation factors ,Bindi et al (2013),1,1
OM Complete Blood Count,Bindi et al (2013),1,1
OM Fibrinogen,Bindi et al (2013),1,1
OM INR,Bindi et al (2013),1,1
OM Adverse events,Carson JL et al (2021),1,1
OM Complete Blood Count,Carson JL et al (2021),1,1
OM Complete Blood Count,Carson JL et al (2021),1,1
OM INR,Carson JL et al (2021),1,1
OM LOS ICU,Carson JL et al (2021),1,1
OM Plasma,Carson JL et al (2021),1,1
OM Platelets,Carson JL et al (2021),1,1
OM RBC,Carson JL et al (2021),1,1
OM Transfusion reaction,Carson JL et al (2021),1,1
OM aPTT,Chong Sung et al (2006),1,1
OM Blood loss,Chong Sung et al (2006),1,1
OM Complete Blood Count,Chong Sung et al (2006),1,1
OM Death,Chong Sung et al (2006),1,1
OM FFP,Chong Sung et al (2006),1,1
OM HCT,Chong Sung et al (2006),1,1
OM INR,Chong Sung et al (2006),1,1
OM RBC,Chong Sung et al (2006),1,1
OM Reoperation,Chong Sung et al (2006),1,1
CA Death,D 1 Mortality and Survival,1,1
CA Death,D 1 Mortality and Survival,1,1
CA Death,D 1 Mortality and Survival,1,1
CA Death,D 1 Mortality and Survival,1,1
CA Death,D 1 Mortality and Survival,1,1
CA Death,D 1 Mortality and Survival,1,1
CA Death,D 1 Mortality and Survival,1,1
CA Death,D 1 Mortality and Survival,1,1
CA Death,D 1 Mortality and Survival,1,1
CA Death,D 1 Mortality and Survival,1,1
CA Death,D 1 Mortality and Survival,1,1
CA Death,D 1 Mortality and Survival,1,1
CA Death,D 1 Mortality and Survival,1,1
CA Death,D 1 Mortality and Survival,1,1
CA Physiological,D 11 Immune system outcomes,1,1
CA Clinical,D 17 Nervous system outcomes,1,1
CA Clinical,D 17 Nervous system outcomes,1,1
CA Clinical,D 17 Nervous system outcomes,1,1
CA Clinical,D 17 Nervous system outcomes,1,1
CA Physiological,D 2 Blood and lymphatic system outcomes,1,1
CA Physiological,D 2 Blood and lymphatic system outcomes,1,1
CA Physiological,D 2 Blood and lymphatic system outcomes,1,1
CA Physiological,D 2 Blood and lymphatic system outcomes,1,1
CA Physiological,D 2 Blood and lymphatic system outcomes,1,1
CA Physiological,D 2 Blood and lymphatic system outcomes,1,1
CA Physiological,D 2 Blood and lymphatic system outcomes,1,1
CA Physiological,D 2 Blood and lymphatic system outcomes,1,1
CA Physiological,D 2 Blood and lymphatic system outcomes,1,1
CA Physiological,D 2 Blood and lymphatic system outcomes,1,1
CA Physiological,D 2 Blood and lymphatic system outcomes,1,1
CA Physiological,D 2 Blood and lymphatic system outcomes,1,1
CA Physiological,D 2 Blood and lymphatic system outcomes,1,1
CA Physiological,D 2 Blood and lymphatic system outcomes,1,1
CA Physiological,D 2 Blood and lymphatic system outcomes,1,1
CA Physiological,D 2 Blood and lymphatic system outcomes,1,1
CA Physiological,D 2 Blood and lymphatic system outcomes,1,1
CA Physiological,D 2 Blood and lymphatic system outcomes,1,1
CA Physiological,D 2 Blood and lymphatic system outcomes,1,1
CA Physiological,D 2 Blood and lymphatic system outcomes,1,1
CA Physiological,D 2 Blood and lymphatic system outcomes,1,1
CA Physiological,D 2 Blood and lymphatic system outcomes,1,1
CA Physiological,D 2 Blood and lymphatic system outcomes,1,1
CA Physiological,D 2 Blood and lymphatic system outcomes,1,1
CA Physiological,D 2 Blood and lymphatic system outcomes,1,1
CA Physiological,D 2 Blood and lymphatic system outcomes,1,1
CA Physiological,D 2 Blood and lymphatic system outcomes,1,1
CA Physiological,D 2 Blood and lymphatic system outcomes,1,1
