,,ClinicalOutcome_A,ClinicalOutcome_B,ClinicalOutcome_C,ClinicalOutcome_D,LabOutcome_A,LabOutcome_B,LabOutcome_C,TransfusionOutcome_A,TransfusionOutcome_B,
Cardiac Surgery,Chong Sung et al. (2006),1,1,1,1,0,0,0,0,0,
Cardiac Surgery,Demeyere et al. (2010),0,0,0,1,0,0,0,0,0,
Cardiac Surgery,Green et al. (2020),1,0,0,1,1,0,0,0,0,
Cardiac Surgery,Karkouti et al. (2021),1,0,0,0,1,1,0,0,0,
Cardiac Surgery,Massoumi G et al. (2018),1,1,1,0,1,1,1,0,1,
Cardiac Surgery,Smith  et al. (2022),1,1,0,0,1,0,1,0,0,
Cardiac Surgery,Tamura et al. (2020),1,0,0,1,1,1,0,1,0,
Cardiac Surgery,Tollofsrud et al. (2003),1,0,1,0,1,0,0,0,0,
Liver Disease,French et al. (2003),1,1,0,0,1,0,0,1,1,
Liver Transplant,Bartelmaos et al. (2013),1,0,0,1,0,0,1,1,0,
Liver Transplant,Bindi et al. (2013),1,1,1,0,1,0,0,1,0,
Non-Cardiovascular Surgery,Lance et al. (2012),1,0,0,0,1,0,1,0,0,
Non-Cardiovascular Surgery,Pieters et al. (2015),1,0,0,0,1,0,1,0,0,
Pre-Hospital Hemorrhagic Shock,Jost et al. (2022),1,0,0,0,1,1,1,0,1,
Pre-Hospital Hemorrhagic Shock,Moore et al. (2018),0,1,0,0,1,0,1,1,0,
Pre-Hospital Hemorrhagic Shock,Sperry et al. (2018),1,0,1,1,0,1,0,0,0,
Prolonged INR,Carson  et al. (2021),0,0,0,1,1,0,0,0,0,
Stem Cell Transplant,Matsumoto et al. (2007),1,1,0,0,0,0,0,0,0,
Trauma,Etemadreziae et al. (2007),1,0,0,0,1,1,0,0,0,
Trauma,Garrigue et al. (2017),1,0,0,1,1,0,1,0,0,
Trauma,Innerhofer et al. (2017),0,1,0,1,0,0,0,1,0,
Trauma,Zhang et al. (2019),1,1,0,1,0,0,0,0,1,
Vascular Surgery,Morrison et al. (2019),1,0,1,0,0,0,0,0,1,
Vascular Surgery,Stensballe et al. (2018),1,1,0,0,1,0,0,0,1,
VKA Reversal,Goldstein et al. (2015),1,0,0,0,1,0,0,1,0,
VKA Reversal,Muller et al. (2015),1,0,0,0,1,0,1,0,0,
VKA Reversal,Sarode et al. (2013),1,0,1,0,1,0,1,0,1,
VKA Reversal,Steiner et al. (2016),0,1,1,0,0,1,0,0,0,
VKA Reversal,Yiu et al. (2006),0,0,1,0,1,0,0,1,0,
